wt%_Si,liquidus_C,solidus_C
-8.447412353923205330e+01,2.546489930605855989e+03,5.770000000000000000e+02
-8.397328881469115913e+01,2.528498389125615176e+03,5.770000000000000000e+02
-8.347245409015025075e+01,2.510588064931315330e+03,5.770000000000000000e+02
-8.297161936560934237e+01,2.492758958022955994e+03,5.770000000000000000e+02
-8.247078464106844820e+01,2.475011068400538534e+03,5.770000000000000000e+02
-8.196994991652755402e+01,2.457344396064061584e+03,5.770000000000000000e+02
-8.146911519198664564e+01,2.439758941013525146e+03,5.770000000000000000e+02
-8.096828046744573726e+01,2.422254703248929673e+03,5.770000000000000000e+02
-8.046744574290484309e+01,2.404831682770275165e+03,5.770000000000000000e+02
-7.996661101836394892e+01,2.387489879577562078e+03,5.770000000000000000e+02
-7.946577629382304053e+01,2.370229293670789048e+03,5.770000000000000000e+02
-7.896494156928213215e+01,2.353049925049956983e+03,5.770000000000000000e+02
-7.846410684474123798e+01,2.335951773715066793e+03,5.770000000000000000e+02
-7.796327212020032960e+01,2.318934839666116659e+03,5.770000000000000000e+02
-7.746243739565943542e+01,2.301999122903107946e+03,5.770000000000000000e+02
-7.696160267111852704e+01,2.285144623426039288e+03,5.770000000000000000e+02
-7.646076794657763287e+01,2.268371341234912506e+03,5.770000000000000000e+02
-7.595993322203672449e+01,2.251679276329725781e+03,5.770000000000000000e+02
-7.545909849749583032e+01,2.235068428710480475e+03,5.770000000000000000e+02
-7.495826377295492193e+01,2.218538798377175681e+03,5.770000000000000000e+02
-7.445742904841402776e+01,2.202090385329812307e+03,5.770000000000000000e+02
-7.395659432387311938e+01,2.185723189568389444e+03,5.770000000000000000e+02
-7.345575959933222521e+01,2.169437211092908001e+03,5.770000000000000000e+02
-7.295492487479131682e+01,2.153232449903366614e+03,5.770000000000000000e+02
-7.245409015025042265e+01,2.137108905999766648e+03,5.770000000000000000e+02
-7.195325542570951427e+01,2.121066579382107193e+03,5.770000000000000000e+02
-7.145242070116862010e+01,2.105105470050389158e+03,5.770000000000000000e+02
-7.095158597662771172e+01,2.089225578004611634e+03,5.770000000000000000e+02
-7.045075125208680333e+01,2.073426903244775076e+03,5.770000000000000000e+02
-6.994991652754590916e+01,2.057709445770879483e+03,5.770000000000000000e+02
-6.944908180300501499e+01,2.042073205582925311e+03,5.770000000000000000e+02
-6.894824707846410661e+01,2.026518182680911195e+03,5.770000000000000000e+02
-6.844741235392319822e+01,2.011044377064838045e+03,5.770000000000000000e+02
-6.794657762938230405e+01,1.995651788734706315e+03,5.770000000000000000e+02
-6.744574290484140988e+01,1.980340417690515551e+03,5.770000000000000000e+02
-6.694490818030050150e+01,1.965110263932264843e+03,5.770000000000000000e+02
-6.644407345575959312e+01,1.949961327459955555e+03,5.770000000000000000e+02
-6.594323873121869894e+01,1.934893608273587688e+03,5.770000000000000000e+02
-6.544240400667780477e+01,1.919907106373160332e+03,5.770000000000000000e+02
-6.494156928213689639e+01,1.905001821758673486e+03,5.770000000000000000e+02
-6.444073455759598801e+01,1.890177754430127607e+03,5.770000000000000000e+02
-6.393989983305509384e+01,1.875434904387522693e+03,5.770000000000000000e+02
-6.343906510851419256e+01,1.860773271630859199e+03,5.770000000000000000e+02
-6.293823038397329128e+01,1.846192856160135761e+03,5.770000000000000000e+02
-6.243739565943239000e+01,1.831693657975353744e+03,5.770000000000000000e+02
-6.193656093489148873e+01,1.817275677076512693e+03,5.770000000000000000e+02
-6.143572621035058745e+01,1.802938913463612153e+03,5.770000000000000000e+02
-6.093489148580968617e+01,1.788683367136653033e+03,5.770000000000000000e+02
-6.043405676126878490e+01,1.774509038095634423e+03,5.770000000000000000e+02
-5.993322203672788362e+01,1.760415926340556780e+03,5.770000000000000000e+02
-5.943238731218697524e+01,1.746404031871420102e+03,5.770000000000000000e+02
-5.893155258764607396e+01,1.732473354688223935e+03,5.770000000000000000e+02
-5.843071786310517268e+01,1.718623894790969189e+03,5.770000000000000000e+02
-5.792988313856427141e+01,1.704855652179654953e+03,5.770000000000000000e+02
-5.742904841402337013e+01,1.691168626854282138e+03,5.770000000000000000e+02
-5.692821368948246885e+01,1.677562818814849834e+03,5.770000000000000000e+02
-5.642737896494156757e+01,1.664038228061358495e+03,5.770000000000000000e+02
-5.592654424040066630e+01,1.650594854593808122e+03,5.770000000000000000e+02
-5.542570951585976502e+01,1.637232698412198260e+03,5.770000000000000000e+02
-5.492487479131886374e+01,1.623951759516529819e+03,5.770000000000000000e+02
-5.442404006677796247e+01,1.610752037906801888e+03,5.770000000000000000e+02
-5.392320534223706119e+01,1.597633533583015378e+03,5.770000000000000000e+02
-5.342237061769615991e+01,1.584596246545169379e+03,5.770000000000000000e+02
-5.292153589315525863e+01,1.571640176793264118e+03,5.770000000000000000e+02
-5.242070116861435736e+01,1.558765324327299822e+03,5.770000000000000000e+02
-5.191986644407345608e+01,1.545971689147276720e+03,5.770000000000000000e+02
-5.141903171953255480e+01,1.533259271253194584e+03,5.770000000000000000e+02
-5.091819699499165353e+01,1.520628070645052958e+03,5.770000000000000000e+02
-5.041736227045075225e+01,1.508078087322852298e+03,5.770000000000000000e+02
-4.991652754590985097e+01,1.495609321286592603e+03,5.770000000000000000e+02
-4.941569282136894969e+01,1.483221772536273875e+03,5.770000000000000000e+02
-4.891485809682804842e+01,1.470915441071896112e+03,5.770000000000000000e+02
-4.841402337228714714e+01,1.458690326893459314e+03,5.770000000000000000e+02
-4.791318864774624586e+01,1.446546430000963028e+03,5.770000000000000000e+02
-4.741235392320534459e+01,1.434483750394407707e+03,5.770000000000000000e+02
-4.691151919866444331e+01,1.422502288073793579e+03,5.770000000000000000e+02
-4.641068447412354203e+01,1.410602043039120417e+03,5.770000000000000000e+02
-4.590984974958264075e+01,1.398783015290387539e+03,5.770000000000000000e+02
-4.540901502504173948e+01,1.387045204827596081e+03,5.770000000000000000e+02
-4.490818030050083820e+01,1.375388611650745588e+03,5.770000000000000000e+02
-4.440734557595993692e+01,1.363813235759835607e+03,5.770000000000000000e+02
-4.390651085141902854e+01,1.352319077154866591e+03,5.770000000000000000e+02
-4.340567612687812726e+01,1.340906135835838541e+03,5.770000000000000000e+02
-4.290484140233722599e+01,1.329574411802751456e+03,5.770000000000000000e+02
-4.240400667779632471e+01,1.318323905055605337e+03,5.770000000000000000e+02
-4.190317195325542343e+01,1.307154615594400184e+03,5.770000000000000000e+02
-4.140233722871452215e+01,1.296066543419135542e+03,5.770000000000000000e+02
-4.090150250417362088e+01,1.285059688529812320e+03,5.770000000000000000e+02
-4.040066777963271960e+01,1.274134050926429609e+03,5.770000000000000000e+02
-3.989983305509181832e+01,1.263289630608987864e+03,5.770000000000000000e+02
-3.939899833055091705e+01,1.252526427577487084e+03,5.770000000000000000e+02
-3.889816360601001577e+01,1.241844441831927043e+03,5.770000000000000000e+02
-3.839732888146911449e+01,1.231243673372307967e+03,5.770000000000000000e+02
-3.789649415692821321e+01,1.220724122198630084e+03,5.770000000000000000e+02
-3.739565943238731194e+01,1.210285788310892713e+03,5.770000000000000000e+02
-3.689482470784641066e+01,1.199928671709096307e+03,5.770000000000000000e+02
-3.639398998330550938e+01,1.189652772393240866e+03,5.770000000000000000e+02
-3.589315525876460811e+01,1.179458090363326392e+03,5.770000000000000000e+02
-3.539232053422369972e+01,1.169344625619352655e+03,5.770000000000000000e+02
-3.489148580968280555e+01,1.159312378161320112e+03,5.770000000000000000e+02
